ID_PRODUIT,CATEGORIE,NOM_PRODUIT,SOUS_TITRE,DESCRIPTION_COURTE,DESCRIPTION_LONGUE,POIDS_M2,EPAISSEUR,FORMAT_MAX_CM,USAGE,DUREE_VIE,CERTIFICATION,FINITION,IMPRESSION_FACES,COUT_ACHAT_M2,PRIX_SIMPLE_FACE_M2,PRIX_DOUBLE_FACE_M2,PRIX_0_10_M2,PRIX_11_50_M2,PRIX_51_100_M2,PRIX_101_300_M2,PRIX_300_PLUS_M2,COMMANDE_MIN_EURO,DELAI_STANDARD_JOURS,UNITE_VENTE
PALB-3MM,Supports plastiques premium,Palboard 3mm,PVC alvéolaire - Haut de gamme,PVC alvéolaire léger et résistant,"Panneau PVC alvéolaire haute qualité. Structure nid d'abeille ultra-résistante. Très léger mais rigide. Parfait PLV premium, présentoirs, totems. Excellente tenue couleurs. Surface lisse parfaite impression. Recyclable.",1.8,3mm,200x300,Intérieur/Extérieur abrité,5+ ans,Non classé,Blanc mat,Simple ou double,22,22,25,52,48,44,40,36,25,3,m²
ACRYL-3MM,Supports transparents,Acrylique Transparent 3mm,PMMA - Transparent brillant,Plexiglass transparent pour affichage luxe,"Panneau acrylique (PMMA) transparent brillant. Effet vitrine premium. Idéal présentoirs luxe, PLV haut de gamme, signalétique moderne. Transparence cristalline. Résistant chocs. Facile à nettoyer. Attention : impression UV uniquement.",3.6,3mm,203x300,Intérieur/Extérieur abrité,10+ ans,M3,Transparent brillant,Simple face,24,24,12,56,52,48,44,40,25,3,m²
POLYGLANS-115G,Textiles imprimables standard,Polyglans 115g,Textile Polyglans,Support textile Polyglans 115g,"Support textile professionnel Polyglans 115g. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,4.0,4.0,-,10.0,8.8,8.0,7.2,6.4,25,3,m²
POLYGLANS-115G-B1,Textiles imprimables standard,Polyglans 115g B1,Textile Polyglans,Support textile Polyglans 115g B1,"Support textile professionnel Polyglans 115g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,4.8,4.8,-,12.0,10.6,9.6,8.6,7.7,25,3,m²
AIR-POLYGLANS-110G,Textiles imprimables standard,Air Polyglans 110g,Textile Air,Support textile Air Polyglans 110g,"Support textile professionnel Air Polyglans 110g. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,4.8,4.8,-,12.0,10.6,9.6,8.6,7.7,25,3,m²
AIR-POLYGLANS-110G-B1,Textiles imprimables standard,Air Polyglans 110g B1,Textile Air,Support textile Air Polyglans 110g B1,"Support textile professionnel Air Polyglans 110g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,5.6,5.6,-,14.0,12.3,11.2,10.1,9.0,25,3,m²
SATIN-140G-B1,Textiles imprimables standard,Satin 140g B1,Textile Satin,Support textile Satin 140g B1,"Support textile professionnel Satin 140g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,5.6,5.6,-,14.0,12.3,11.2,10.1,9.0,25,3,m²
DECOR-205G-B1,Textiles imprimables standard,Decor 205g B1,Textile Decor,Support textile Decor 205g B1,"Support textile professionnel Decor 205g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,5.6,5.6,-,14.0,12.3,11.2,10.1,9.0,25,3,m²
UV-DECOR-205-B1,Textiles imprimables standard,UV Decor 205 B1,Textile UV,Support textile UV Decor 205 B1,"Support textile professionnel UV Decor 205 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,6.4,6.4,-,16.0,14.1,12.8,11.5,10.2,25,3,m²
DECOR-BLOCKOUT-BLACK-BACK-250-,Bâches et supports souples,Decor Blockout Black Back 250 B1,Textile Decor,Support textile Decor Blockout Black Back 250 B1,"Support textile professionnel Decor Blockout Black Back 250 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,11.2,11.2,-,28.0,24.6,22.4,20.2,17.9,25,3,m²
UV-DECOR-BLOCKOUT-BLACK-BACK-2,Bâches et supports souples,UV Decor Blockout Black Back 250 B1,Textile UV,Support textile UV Decor Blockout Black Back 250 B1,"Support textile professionnel UV Decor Blockout Black Back 250 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,12.0,12.0,-,30.0,26.4,24.0,21.6,19.2,25,3,m²
DECOR-BLOCKOUT-400G-DOUBLE-SID,Bâches et supports souples,Decor Blockout 400g Double-Sided,Textile Decor,Support textile Decor Blockout 400g Double-Sided,"Support textile professionnel Decor Blockout 400g Double-Sided. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,16.8,16.8,-,42.0,37.0,33.6,30.2,26.9,25,3,m²
SAMBA-195G-B1,Textiles imprimables standard,Samba 195g B1,Textile Samba,Support textile Samba 195g B1,"Support textile professionnel Samba 195g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,8.8,8.8,-,22.0,19.4,17.6,15.8,14.1,25,3,m²
STRETCH-240G-B1,Textiles rétroéclairés,Stretch 240g B1,Textile Stretch,Support textile Stretch 240g B1,"Support textile professionnel Stretch 240g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,8.8,8.8,-,22.0,19.4,17.6,15.8,14.1,25,3,m²
DECOR-BACKLITE-165-B1,Textiles rétroéclairés,Decor Backlite 165 B1,Textile Decor,Support textile Decor Backlite 165 B1,"Support textile professionnel Decor Backlite 165 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,12.0,12.0,-,30.0,26.4,24.0,21.6,19.2,25,3,m²
STRETCH-BACKLITE-210G-B1,Textiles rétroéclairés,Stretch Backlite 210g B1,Textile Stretch,Support textile Stretch Backlite 210g B1,"Support textile professionnel Stretch Backlite 210g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,12.0,12.0,-,30.0,26.4,24.0,21.6,19.2,25,3,m²
MAYA-115-B1,Textiles imprimables standard,Maya 115 B1,Textile Maya,Support textile Maya 115 B1,"Support textile professionnel Maya 115 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,4.8,4.8,-,12.0,10.6,9.6,8.6,7.7,25,3,m²
POLYTENT-220,Textiles imprimables standard,Polytent 220,Textile Polytent,Support textile Polytent 220,"Support textile professionnel Polytent 220. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,9.6,9.6,-,24.0,21.1,19.2,17.3,15.4,25,3,m²
POLYTENT-SUN-285,Textiles imprimables standard,Polytent Sun 285,Textile Polytent,Support textile Polytent Sun 285,"Support textile professionnel Polytent Sun 285. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,9.6,9.6,-,24.0,21.1,19.2,17.3,15.4,25,3,m²
KLIMT-320-B1,Textiles imprimables standard,Klimt 320 B1,Textile Klimt,Support textile Klimt 320 B1,"Support textile professionnel Klimt 320 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,9.6,9.6,-,24.0,21.1,19.2,17.3,15.4,25,3,m²
DISCOVERY-FR-275-B1,Textiles imprimables standard,Discovery FR 275 B1,Textile Discovery,Support textile Discovery FR 275 B1,"Support textile professionnel Discovery FR 275 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,9.6,9.6,-,24.0,21.1,19.2,17.3,15.4,25,3,m²
DISCOVERY-FR-275,Textiles imprimables standard,Discovery FR 275,Textile Discovery,Support textile Discovery FR 275,"Support textile professionnel Discovery FR 275. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,8.8,8.8,-,22.0,19.4,17.6,15.8,14.1,25,3,m²
FRONTLIT-COATED-500G-B1,Bâches et supports souples,Frontlit coated 500g B1,Textile Frontlit,Support textile Frontlit coated 500g B1,"Support textile professionnel Frontlit coated 500g B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,3.6,3.6,-,9.0,7.9,7.2,6.5,5.8,25,3,m²
MESH-330-B1,Bâches et supports souples,Mesh 330 B1,Textile Mesh,Support textile Mesh 330 B1,"Support textile professionnel Mesh 330 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,4.4,4.4,-,11.0,9.7,8.8,7.9,7.0,25,3,m²
MESH-270-B1-LIGHT,Bâches et supports souples,Mesh 270 B1 Light,Textile Mesh,Support textile Mesh 270 B1 Light,"Support textile professionnel Mesh 270 B1 Light. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,4.0,4.0,-,10.0,8.8,8.0,7.2,6.4,25,3,m²
EASY-MESH-270,Bâches et supports souples,Easy Mesh 270,Textile Easy,Support textile Easy Mesh 270,"Support textile professionnel Easy Mesh 270. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,3.6,3.6,-,9.0,7.9,7.2,6.5,5.8,25,3,m²
MESH-330-B1-DOUBLE-SIDED,Bâches et supports souples,Mesh 330 B1 Double-Sided,Textile Mesh,Support textile Mesh 330 B1 Double-Sided,"Support textile professionnel Mesh 330 B1 Double-Sided. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,10.0,10.0,-,25.0,22.0,20.0,18.0,16.0,25,3,m²
SOUND-MESH-250-B1,Bâches et supports souples,Sound Mesh 250 B1,Textile Sound,Support textile Sound Mesh 250 B1,"Support textile professionnel Sound Mesh 250 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,6.0,6.0,-,15.0,13.2,12.0,10.8,9.6,25,3,m²
BLOCKOUT-650-B1,Bâches et supports souples,Blockout 650 B1,Textile Blockout,Support textile Blockout 650 B1,"Support textile professionnel Blockout 650 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,10.4,10.4,-,26.0,22.9,20.8,18.7,16.6,25,3,m²
POLYCANVAS-270,Textiles imprimables standard,Polycanvas 270,Textile Polycanvas,Support textile Polycanvas 270,"Support textile professionnel Polycanvas 270. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,9.6,9.6,-,24.0,21.1,19.2,17.3,15.4,25,3,m²
PVC-BACKLITE-150-B1,Textiles rétroéclairés,PVC Backlite 150 B1,Textile PVC,Support textile PVC Backlite 150 B1,"Support textile professionnel PVC Backlite 150 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,10.4,10.4,-,26.0,22.9,20.8,18.7,16.6,25,3,m²
PVC-BACKLITE-510,Textiles rétroéclairés,PVC Backlite 510,Textile PVC,Support textile PVC Backlite 510,"Support textile professionnel PVC Backlite 510. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,8.4,8.4,-,21.0,18.5,16.8,15.1,13.4,25,3,m²
PVC-POLYTENT-330-B1,Textiles imprimables standard,PVC Polytent 330 B1,Textile PVC,Support textile PVC Polytent 330 B1,"Support textile professionnel PVC Polytent 330 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,9.6,9.6,-,24.0,21.1,19.2,17.3,15.4,25,3,m²
BLOCKOUT-ROLL-UP-440,Bâches et supports souples,Blockout Roll-UP 440,Textile Blockout,Support textile Blockout Roll-UP 440,"Support textile professionnel Blockout Roll-UP 440. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,8.0,8.0,-,20.0,17.6,16.0,14.4,12.8,25,3,m²
ROLL-UP-FILM-205,Bâches et supports souples,Roll-Up Film 205,Textile Roll-Up,Support textile Roll-Up Film 205,"Support textile professionnel Roll-Up Film 205. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,8.0,8.0,-,20.0,17.6,16.0,14.4,12.8,25,3,m²
FLOORING-FOAM-1000-M2,Textiles imprimables standard,Flooring Foam 1000 M2,Textile Flooring,Support textile Flooring Foam 1000 M2,"Support textile professionnel Flooring Foam 1000 M2. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,10.4,10.4,-,26.0,22.9,20.8,18.7,16.6,25,3,m²
ECO-POLYGLANS-115-B1,Textiles écologiques,ECO Polyglans 115 B1,Textile ECO,Support textile ECO Polyglans 115 B1,"Support textile professionnel ECO Polyglans 115 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,6.4,6.4,-,16.0,14.1,12.8,11.5,10.2,25,3,m²
ECO-AIR-POLYGLANS-110-B1,Textiles écologiques,ECO Air Polyglans 110 B1,Textile ECO,Support textile ECO Air Polyglans 110 B1,"Support textile professionnel ECO Air Polyglans 110 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,7.6,7.6,-,19.0,16.7,15.2,13.7,12.2,25,3,m²
ECO-DECOR-205-B1,Textiles écologiques,ECO Decor 205 B1,Textile ECO,Support textile ECO Decor 205 B1,"Support textile professionnel ECO Decor 205 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,7.6,7.6,-,19.0,16.7,15.2,13.7,12.2,25,3,m²
TEXTIEL-MESH-220-B1,Bâches et supports souples,Textiel Mesh 220 B1,Textile Textiel,Support textile Textiel Mesh 220 B1,"Support textile professionnel Textiel Mesh 220 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,8.4,8.4,-,21.0,18.5,16.8,15.1,13.4,25,3,m²
POLYMESH-180,Textiles imprimables standard,Polymesh 180,Textile Polymesh,Support textile Polymesh 180,"Support textile professionnel Polymesh 180. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,M2,Mat ou brillant,Simple face,8.8,8.8,-,22.0,19.4,17.6,15.8,14.1,25,3,m²
KAVALAN-360-B1,Textiles imprimables standard,Kavalan 360 B1,Textile Kavalan,Support textile Kavalan 360 B1,"Support textile professionnel Kavalan 360 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,8.0,8.0,-,20.0,17.6,16.0,14.4,12.8,25,3,m²
POLYGLANS-CICLO-115-B1,Textiles écologiques,Polyglans CiCLO 115 B1,Textile Polyglans,Support textile Polyglans CiCLO 115 B1,"Support textile professionnel Polyglans CiCLO 115 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,6.4,6.4,-,16.0,14.1,12.8,11.5,10.2,25,3,m²
AIR-POLYGLANS-CICLO-110-B1,Textiles écologiques,Air Polyglans CiCLO 110 B1,Textile Air,Support textile Air Polyglans CiCLO 110 B1,"Support textile professionnel Air Polyglans CiCLO 110 B1. Impression HD haute définition. Idéal pour événementiel, stands, kakémonos, roll-ups.",0.3,-,Illimité,Intérieur/Extérieur selon produit,2-5 ans,B1,Mat ou brillant,Simple face,8.0,8.0,-,20.0,17.6,16.0,14.4,12.8,25,3,m²
